source csv,EER,FAR,FRR,sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_dfdc.csv,0.2890695,0.289069,0.28907,2,1,3,0.65,0.25,0.6,0.2,0.5,0.5
results\20\ucf_sbi_xception\cascade_threshold_sweep_ucf_sbi_xception_faceforensics.csv,0.043222,0.043222,0.043222,2,1,3,0.45,0.3,0.95,0.15,0.7,0.7
results\20\ucf_xception\cascade_threshold_sweep_ucf_xception_celebdf.csv,0.278248,0.278374,0.278122,-1,1,2,-1,-1,0.5,0.45,0.45,0.45
results\20\ucf_xception\cascade_threshold_sweep_ucf_xception_combined.csv,0.2836085,0.283173,0.284044,-1,1,2,-1,-1,0.55,0.35,0.9,0.9
results\20\ucf_xception\cascade_threshold_sweep_ucf_xception_dfdc.csv,0.322073,0.322161,0.321985,-1,1,2,-1,-1,0.85,0.5,0.1,0.1
results\20\ucf_xception\cascade_threshold_sweep_ucf_xception_faceforensics.csv,0.045357,0.045408,0.045306,-1,1,2,-1,-1,0.85,0.75,0.6,0.6
results\20\ucf_xception_sbi\cascade_threshold_sweep_ucf_xception_sbi_celebdf.csv,0.220172,0.220169,0.220175,3,1,2,0.5,0.5,1,0.1,0.9,0.35
results\20\ucf_xception_sbi\cascade_threshold_sweep_ucf_xception_sbi_combined.csv,0.287708,0.287708,0.287708,3,1,2,0.35,0.35,0.55,0.5,0.85,0.2
results\20\ucf_xception_sbi\cascade_threshold_sweep_ucf_xception_sbi_dfdc.csv,0.270591,0.27059,0.270592,3,1,2,0.2,0.2,0.7,0.25,0.7,0.35
results\20\ucf_xception_sbi\cascade_threshold_sweep_ucf_xception_sbi_faceforensics.csv,0.045306,0.045306,0.045306,3,1,2,0.95,0.95,0.85,0.75,0.6,0.35
results\20\xception\cascade_threshold_sweep_xception_celebdf.csv,0.2723895,0.308824,0.235955,-1,-1,1,-1,-1,-1,-1,0.55,0.55
results\20\xception\cascade_threshold_sweep_xception_combined.csv,0.3137065,0.321678,0.305735,-1,-1,1,-1,-1,-1,-1,0.5,0.5
results\20\xception\cascade_threshold_sweep_xception_dfdc.csv,0.356909,0.412306,0.301512,-1,-1,1,-1,-1,-1,-1,0.5,0.5
results\20\xception\cascade_threshold_sweep_xception_faceforensics.csv,0.064286,0.057143,0.071429,-1,-1,1,-1,-1,-1,-1,0.7,0.7
results\20\xception\threshold_sweep_xception_celebdf.csv,0.2723895,0.308824,0.235955,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\xception\threshold_sweep_xception_combined.csv,0.3137065,0.321678,0.305735,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\xception\threshold_sweep_xception_dfdc.csv,0.356909,0.412306,0.301512,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\xception\threshold_sweep_xception_faceforensics.csv,0.064286,0.057143,0.071429,-1,-1,-1,-1,-1,-1,-1,-1,-1
results\20\xception_sbi\cascade_threshold_sweep_xception_sbi_celebdf.csv,0.2313695,0.231834,0.230905,2,-1,1,0.4,0.4,-1,-1,0.65,0.5
results\20\xception_sbi\cascade_threshold_sweep_xception_sbi_combined.csv,0.305997,0.305979,0.306015,2,-1,1,0.9,0.9,-1,-1,0.5,0.45
results\20\xception_sbi\cascade_threshold_sweep_xception_sbi_dfdc.csv,0.296897,0.297039,0.296755,2,-1,1,0.35,0.35,-1,-1,0.55,0.1
results\20\xception_sbi\cascade_threshold_sweep_xception_sbi_faceforensics.csv,0.0455165,0.045472,0.045561,2,-1,1,0.7,0.7,-1,-1,0.75,0.15
results\20\xception_sbi_ucf\cascade_threshold_sweep_xception_sbi_ucf_celebdf.csv,0.2207605,0.220761,0.22076,2,3,1,0.55,0.15,0.5,0.5,0.65,0.5
results\20\xception_sbi_ucf\cascade_threshold_sweep_xception_sbi_ucf_combined.csv,0.247825,0.247825,0.247825,2,3,1,0.95,0.45,0.4,0.4,0.55,0.05
