sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,Inference Time (ms),FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.6,0.6,158.79,0.545,0.417647,0.134831
-1,-1,1,-1,-1,-1,-1,0.6,0.6,158.79,0.550,0.417647,0.134831
-1,-1,1,-1,-1,-1,-1,0.6,0.6,158.79,0.555,0.417647,0.134831
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.560,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.565,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.570,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.575,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.580,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.585,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.590,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.595,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.600,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.605,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.610,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.615,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.620,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.625,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.630,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.635,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.640,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.645,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.650,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.655,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.660,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.665,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.670,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.675,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.680,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.685,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.65,0.65,158.79,0.690,0.558824,0.073034
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.695,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.700,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.705,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.710,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.715,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.720,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.725,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.730,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.735,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.740,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.745,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.750,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.755,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.760,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.765,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.770,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.775,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.780,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.785,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.790,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.795,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.800,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.7,0.7,158.79,0.805,0.691176,0.033708
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.810,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.815,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.820,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.825,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.830,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.835,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.840,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.845,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.850,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.855,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.860,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.865,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.870,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.875,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.880,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.75,0.75,158.79,0.885,0.808824,0.016854
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.890,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.895,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.900,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.905,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.910,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.915,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.920,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.925,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.930,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.935,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.940,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.945,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.950,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.955,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.960,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.965,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.970,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.975,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.980,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.985,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.990,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,0.995,0.885294,0.0
-1,-1,1,-1,-1,-1,-1,0.8,0.8,158.79,1.000,0.885294,0.0
