sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,Inference Time (ms),FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.1,0.1,111.82,0.005,0.003953,0.937334
-1,-1,1,-1,-1,-1,-1,0.1,0.1,111.82,0.010,0.003953,0.937334
-1,-1,1,-1,-1,-1,-1,0.15,0.15,111.82,0.015,0.013074,0.881124
-1,-1,1,-1,-1,-1,-1,0.15,0.15,111.82,0.020,0.013074,0.881124
-1,-1,1,-1,-1,-1,-1,0.15,0.15,111.82,0.025,0.013074,0.881124
-1,-1,1,-1,-1,-1,-1,0.2,0.2,111.82,0.030,0.026148,0.821496
-1,-1,1,-1,-1,-1,-1,0.2,0.2,111.82,0.035,0.026148,0.821496
-1,-1,1,-1,-1,-1,-1,0.2,0.2,111.82,0.040,0.026148,0.821496
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.045,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.050,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.055,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.060,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.065,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.25,0.25,111.82,0.070,0.043174,0.751994
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.075,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.080,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.085,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.090,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.095,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.100,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.3,0.3,111.82,0.105,0.07145,0.669578
-1,-1,1,-1,-1,-1,-1,0.35,0.35,111.82,0.110,0.107631,0.590961
-1,-1,1,-1,-1,-1,-1,0.35,0.35,111.82,0.115,0.107631,0.590961
