security_level,stage_order,stage,modality,detector_name,threshold_L,threshold_H,expected_latency_ms,system_total_far,system_total_frr
fast_screen,UCF,1,visual,UCF,0.05,0.7748806291510766,224.81,0.0003652393569728131,0.13744131617563612
balanced,"UCF,Xception",1,visual,UCF,0.13061077280388234,0.7748806288502371,224.81,0.04999999991194043,0.6086214904108711
balanced,"UCF,Xception",2,visual,Xception,0.05,0.5907739887551061,158.79,0.04999999991194043,0.6086214904108711
forensic,"UCF,Xception,SBI",1,visual,UCF,0.36157556343627056,0.6500928053046434,224.81,0.29999999969199814,0.5713041784535529
forensic,"UCF,Xception,SBI",2,visual,Xception,0.3913879377742855,0.5907739886884787,158.79,0.29999999969199814,0.5713041784535529
forensic,"UCF,Xception,SBI",3,visual,SBI,0.05,0.5268121681564595,2676.15,0.29999999969199814,0.5713041784535529
