Detector,Dataset,b_FAR+b_FRR,K_mean,K_std,K_CV,K_min,K_max
SBI,Celeb-DF,1.3564472550024564,0.2580849584394027,0.10374838090742154,0.40199313255127667,0.14131840069780569,0.5423808369810452
SBI,Combined,-6.4182003315408185,1281.524556686242,1917.0624883916923,1.4959233347418799,-147.95882115783579,9066.136333620476
SBI,DFDC,-7.344539303876657,1037.1821701948663,1702.4755006028126,1.6414430844708319,-123.76342202317069,8222.600194911944
SBI,FF++,-6.9327189460083565,0.19333909786412415,0.3064510081274891,1.5850441608187202,-0.03670286033617764,1.6095096687186745
UCF,Celeb-DF,-1.0636490832801893,0.6701172357276103,0.2106542870058237,0.3143543782709845,0.43988939211632067,1.1569515240616208
UCF,Combined,0.000786399697594975,0.37337937866973403,0.006854212669471754,0.018357234119066132,0.3650925705085069,0.42722874802724475
UCF,DFDC,-0.07061568167850707,0.5413674672597322,0.013128980635275346,0.024251513859395706,0.5205331400616263,0.5944769069610194
UCF,FF++,42.439296269438664,-0.0028050505839264128,0.012545208860990163,4.472364574413419,-0.025943720250012136,0.0823500069105076
XCEPTION,Celeb-DF,1.0650423332037926,1.9164329127179398,0.6184380005906462,0.3227026610149164,1.3273993659542256,2.9424409711173425
XCEPTION,Combined,-0.08923687565228722,1.0428259353843559,0.05433245939124522,0.05210117772072846,0.9719403727853139,1.1700460106174524
XCEPTION,DFDC,-0.5127819505781359,1.9888806888580348,0.30469807420295386,0.1532007806752369,1.6563807384006788,2.5587422283539714
XCEPTION,FF++,8.920085524116113,0.014840348587715163,0.038056827529051936,2.5644160111276206,-0.01485430102530726,0.23806303553187788
