Threshold,FAR,FAR_fitted,FRR,FRR_fitted
0.001,0.0,0.17991754410104477,1.0,0.9073034909071914
0.002,0.0,0.18072082571779902,0.996962,0.9016015273157422
0.003,0.000349,0.18152410740185587,0.990885,0.8959360433723279
0.004,0.001743,0.18232738915685331,0.982909,0.8903068056898533
0.005,0.004183,0.18313067098279134,0.973414,0.8847135823743715
0.006,0.006623,0.18393395287785097,0.964679,0.8791561430155316
0.007,0.007668,0.18473723484385118,0.957083,0.8736342586770868
0.008,0.010108,0.185540516878973,0.950247,0.8681477018874637
0.009,0.012199,0.1863437989850354,0.940372,0.8626962466303916
0.01,0.015336,0.1871470811602194,0.930498,0.8572796683355918
0.011,0.018822,0.18795036340452498,0.915686,0.8518977438695263
0.012,0.021959,0.18875364572159015,0.904671,0.8465502515262069
0.013,0.025096,0.1895569281077769,0.895936,0.8412369710180606
0.014,0.027884,0.19036021056308527,0.8891,0.8359576834668563
0.015,0.031021,0.19116349308933422,0.880365,0.8307121713946872
0.016,0.034158,0.19196677568470477,0.87049,0.8255002187150129
0.017,0.037644,0.1927700583510159,0.862514,0.8203216107237571
0.018,0.040432,0.19357334108644864,0.854539,0.8151761340904629
0.019,0.042524,0.19437662389282195,0.842385,0.810063576849505
0.02,0.045661,0.19517990676831687,0.838207,0.8049837283913581
0.021,0.0481,0.19598318971293338,0.830611,0.7999363794539207
0.022,0.051934,0.19678647273030947,0.821117,0.7949213221138943
0.023,0.055769,0.19758975581680716,0.8139,0.7899383497782188
0.024,0.058557,0.19839303897242644,0.805925,0.7849872571755612
0.025,0.061345,0.1991963221989863,0.797569,0.7800678403478603
0.026,0.064482,0.19999960549648677,0.794151,0.775179896641924
0.027,0.066922,0.20080288886128983,0.788834,0.770323224701082
0.028,0.069711,0.20160617229703348,0.780858,0.7654976244568903
0.029,0.072848,0.20240945580189873,0.775541,0.7607028971208891
0.03,0.075288,0.20321273937952355,0.767186,0.7559388451764152
0.031,0.076682,0.204016023024451,0.75921,0.751205272370464
0.032,0.079819,0.20481930674395699,0.752754,0.7465019837056054
0.033,0.083653,0.2056225905289466,0.744398,0.7418287854319515
0.034,0.085047,0.2064258743848768,0.737182,0.7371854850391742
0.035,0.086093,0.2072291583117476,0.728447,0.732571891248576
0.036,0.088881,0.20803244230773998,0.72237,0.727987814005209
0.037,0.092018,0.20883572637467296,0.716673,0.7234330644700464
0.038,0.094109,0.20963901051072753,0.709457,0.7189074550122039
0.039,0.096549,0.2104422947159037,0.702621,0.7144107992012092
0.04,0.098641,0.21124557899383944,0.695404,0.7099429117993228
0.041,0.102475,0.2120488633408968,0.689328,0.705503608753907
0.042,0.10596,0.21285214775525674,0.683631,0.7010927071898444
0.043,0.108749,0.21365543224237626,0.677554,0.6967100254020032
0.044,0.111189,0.21445871680043638,0.672617,0.6923553828477533
0.045,0.112931,0.2152620014257991,0.665401,0.6880286001395285
0.046,0.117463,0.2160652861239214,0.660843,0.683729499037436
0.047,0.118857,0.2168685708893463,0.654387,0.679457902441915
0.048,0.120251,0.2176718557257118,0.650589,0.6752136343864402
0.049,0.121645,0.21847514063301787,0.646031,0.6709965200302741
0.05,0.123736,0.21927842561126454,0.642233,0.666806385651263
0.051,0.125828,0.2200817106568138,0.639195,0.6626430586386818
0.052,0.127571,0.22088499577330367,0.634258,0.6585063674861229
0.053,0.128965,0.22168828096073412,0.63008,0.654396141784431
0.054,0.13001,0.22249156621728616,0.624763,0.6503122122146832
0.055,0.13245,0.2232948515447788,0.620965,0.6462544105412146
0.056,0.13489,0.22409813694139302,0.615268,0.6422225696046868
0.057,0.136633,0.22490142240894784,0.609951,0.6382165233152027
0.058,0.139073,0.22570470794562425,0.605393,0.6342361066454644
0.059,0.140119,0.22650799355324125,0.601595,0.6302811556239744
0.06,0.143255,0.22731127922816086,0.597417,0.6263515073282815
0.061,0.145695,0.22811456497584004,0.59172,0.622446999878269
0.062,0.148484,0.2289178507944598,0.587163,0.6185674724294864
0.063,0.151272,0.2297211366803822,0.583365,0.614712765166523
0.064,0.155106,0.23052442263906414,0.580327,0.6108827192964245
0.065,0.157895,0.2313277086668677,0.576908,0.6070771770421521
0.066,0.161032,0.23213099476379284,0.57425,0.6032959816360824
0.067,0.164517,0.2329342809298396,0.571971,0.5995389773135497
0.068,0.16626,0.23373756716682692,0.566274,0.5958060093064289
0.069,0.166957,0.23454085347475484,0.562476,0.5920969238367607
0.07,0.167306,0.23534413985180436,0.557159,0.5884115681104161
0.071,0.169397,0.23614742629979446,0.553361,0.5847497903108022
0.072,0.170443,0.23695071281690616,0.548044,0.5811114395926087
0.073,0.172534,0.23775399940495845,0.545006,0.5774963660755931
0.074,0.173928,0.23855728606213233,0.541208,0.5739044208384071
0.075,0.177065,0.2393605727902468,0.53703,0.5703354559124617
0.076,0.179854,0.24016385958748288,0.534371,0.5667893242758314
0.077,0.181248,0.24096714645384054,0.532093,0.563265879847198
0.078,0.183688,0.24177043339295778,0.528675,0.5597649774798329
0.079,0.184733,0.24257372039937763,0.522598,0.5562864729556173
0.08,0.186825,0.24337700747673807,0.51842,0.5528302229791021
0.081,0.18787,0.24418029462685809,0.516141,0.5493960851716043
0.082,0.189962,0.24498358184246172,0.511584,0.5459839180653414
0.083,0.192402,0.24578686913082493,0.507026,0.5425935810976049
0.084,0.193796,0.24659015648830973,0.503988,0.5392249346049688
0.085,0.195539,0.24739344391491613,0.501709,0.5358778398175364
0.086,0.19763,0.2481967314142821,0.497152,0.5325521588532243
0.087,0.200767,0.2490000189827697,0.493733,0.5292477547120817
0.088,0.20251,0.24980330662037886,0.491455,0.5259644912706475
0.089,0.205647,0.2506065943289286,0.488416,0.522702233276342
0.09,0.207041,0.251409882104781,0.484998,0.5194608463418955
0.091,0.208784,0.25221316995339293,0.48196,0.5162401969398127
0.092,0.212618,0.25301645787294547,0.477782,0.5130401523968714
0.093,0.213663,0.2538197458598006,0.476643,0.5098605808886578
0.094,0.215755,0.25462303391759633,0.472845,0.5067013514341351
0.095,0.216452,0.25542632204633264,0.469427,0.503562333890249
0.096,0.217497,0.25622961024419055,0.46373,0.5004433989465654
0.097,0.217846,0.25703289851298905,0.461831,0.49734441811994434
0.098,0.218892,0.25783618685090914,0.459172,0.49426526374924656
0.099,0.221331,0.25863947525795083,0.455374,0.4912058089900751
0.1,0.223423,0.2594427637377521,0.451576,0.4881659278095496
0.101,0.226211,0.260246052284856,0.449297,0.48514549498111464
0.102,0.227954,0.26104934090290044,0.447019,0.48214438607938104
0.103,0.229348,0.2618526295937045,0.44474,0.479162477475
0.104,0.230742,0.26265591834999213,0.439803,0.47619964632957085
0.105,0.232485,0.26345920717903937,0.437904,0.47325577059057994
