Source,Relation,a,b,c,a_standard_error,b_standard_error,c_standard_error,RMSE,MAE,Max_absolute_error,R_squared,Equation
sbi/threshold_sweep_sbi_celebdf.csv,FAR,0.07723826243171632,2.6479580314472804,-0.10533729943174792,0.0009710450139140739,0.012013954422717597,0.0016950729717194793,0.011715274830941647,0.009488645063363542,0.02789424229846603,0.9982267352342287,FAR(t) = 0.0772382624317 * exp(2.64795803145 * t) - 0.105337299432
sbi/threshold_sweep_sbi_celebdf.csv,FRR,1.565395662948939,-1.291510776444824,-0.49069260329845227,0.011122050755136836,0.018746570359086053,0.012602385803325811,0.02375140972927787,0.019238891098686064,0.07268263926057972,0.9946240658762596,FRR(t) = 1.56539566295 * exp(-1.29151077644 * t) - 0.490692603298
sbi/threshold_sweep_sbi_combined.csv,FAR,9214.258212876879,8.717809853197541e-05,-9214.079098614324,284526.856633816,0.0026918578469298333,284526.856761801,0.04789626357651803,0.038032747537558566,0.18117510740185588,0.9590864162715518,FAR(t) = 9214.25821288 * exp(8.7178098532e-05 * t) - 9214.07909861
sbi/threshold_sweep_sbi_combined.csv,FRR,0.8969860050498262,-6.418287509639351,0.016056163986707877,0.0030336609148566497,0.040606958394591074,0.0009505639058727211,0.018781194007523774,0.01485253087304537,0.09536047268425785,0.9918513007345066,FRR(t) = 0.89698600505 * exp(-6.41828750964 * t) + 0.0160561639867
sbi/threshold_sweep_sbi_dfdc.csv,FAR,8346.592549741754,9.690097886022683e-05,-8346.348790260785,375619.4210643696,0.004360582076698262,375619.4214149885,0.06945010605161163,0.05635366159121704,0.24576686028555,0.9187187739978284,FAR(t) = 8346.59254974 * exp(9.69009788602e-05 * t) - 8346.34879026
sbi/threshold_sweep_sbi_dfdc.csv,FRR,0.9166232789868772,-7.344636204855518,0.01482667432892835,0.0028332006430544887,0.04019018431242949,0.000764032106269928,0.016383373550975043,0.012722301922396834,0.07988695836700377,0.993548640995163,FRR(t) = 0.916623278987 * exp(-7.34463620486 * t) + 0.0148266743289
sbi/threshold_sweep_sbi_faceforensics.csv,FAR,1.6680560016938824,0.3927265144460407,-1.6322690988973687,0.089910679523827,0.01752539529520079,0.09107333261358819,0.01646847326146264,0.0115704612861492,0.16185597825270492,0.9949591777908969,FAR(t) = 1.66805600169 * exp(0.392726514446 * t) - 1.6322690989
sbi/threshold_sweep_sbi_faceforensics.csv,FRR,0.8153820736449021,-7.3254454604543975,0.013943430157483559,0.003727650680502875,0.05934504027455239,0.0010080098790474002,0.02158427031120842,0.014720036983923643,0.1766257088527855,0.9859804386616023,FRR(t) = 0.815382073645 * exp(-7.32544546045 * t) + 0.0139434301575
ucf/threshold_sweep_ucf_celebdf.csv,FAR,0.849005581516839,0.8770142335995829,-0.9365167965577066,0.04463437963770589,0.03086428616681507,0.047561764091578584,0.04225798900978156,0.03741947518055329,0.10424815766949758,0.9849629296493551,FAR(t) = 0.849005581517 * exp(0.8770142336 * t) - 0.936516796558
ucf/threshold_sweep_ucf_celebdf.csv,FRR,1.2812823827564326,-1.940663316879772,-0.23537722795165192,0.004522043220556318,0.019373252499288198,0.005523625277739789,0.022293180930215564,0.018064062879278035,0.05309606951912871,0.99476122569431,FRR(t) = 1.28128238276 * exp(-1.94066331688 * t) - 0.235377227952
ucf/threshold_sweep_ucf_combined.csv,FAR,0.2829187532165362,1.3716788323858242,-0.3002859972253828,0.008180815010323042,0.021829955832213904,0.009540930236999989,0.020175761939451607,0.012130145864653307,0.18625545245820752,0.9927931972187453,FAR(t) = 0.282918753217 * exp(1.37167883239 * t) - 0.300285997225
ucf/threshold_sweep_ucf_combined.csv,FRR,1.319030437520675,-1.3708924326882292,-0.3282620496123028,0.0037847722215382283,0.00840593668667962,0.00434306137562878,0.009174035540602614,0.0076532537013677725,0.024531719263259255,0.9989247112165898,FRR(t) = 1.31903043752 * exp(-1.37089243269 * t) - 0.328262049612
ucf/threshold_sweep_ucf_dfdc.csv,FAR,0.4095132299747034,1.1781409340927307,-0.43019793069572526,0.00800336514771626,0.013648567337360688,0.008969127161560635,0.014164294117669948,0.010739062467461265,0.10153021244772309,0.9971067747338623,FAR(t) = 0.409513229975 * exp(1.17814093409 * t) - 0.430197930696
ucf/threshold_sweep_ucf_dfdc.csv,FRR,1.3690812463809963,-1.2487566157712378,-0.38186835533964253,0.004572918090566691,0.008315323220933495,0.005146189933305734,0.009091833533377194,0.007424780182657532,0.027617297758824377,0.9989324719067517,FRR(t) = 1.36908124638 * exp(-1.24875661577 * t) - 0.38186835534
ucf/threshold_sweep_ucf_faceforensics.csv,FAR,2.4663563682314697e-20,45.08619296963838,0.023925187141218943,2.289098625032501e-22,0.0,0.0,0.029639911256434462,0.022758112486217046,0.1071790603920727,0.9174750062159284,FAR(t) = 2.46635636823e-20 * exp(45.0861929696 * t) + 0.0239251871412
ucf/threshold_sweep_ucf_faceforensics.csv,FRR,1.078485960464413,-2.646896700199721,-0.08436854001930079,0.0025181746469504517,0.019791427935105896,0.0027550657939312577,0.019028775512583543,0.01427333119576653,0.06386421279016713,0.9952012114873422,FRR(t) = 1.07848596046 * exp(-2.6468967002 * t) - 0.0843685400193
xception/threshold_sweep_xception_celebdf.csv,FAR,0.3345461445204039,1.618951831421546,-0.459896460036745,0.025758852965411156,0.06266826185534631,0.031877437400148916,0.09217893579615093,0.08099585968033503,0.2288244311201686,0.9452746307237765,FAR(t) = 0.33454614452 * exp(1.61895183142 * t) - 0.459896460037
xception/threshold_sweep_xception_celebdf.csv,FRR,3.2126301176509986,-0.5539094982177535,-2.015513463909134,0.28393716975455374,0.06557774658644835,0.29123348148355566,0.1043786973230096,0.09311529028722927,0.19533764015718402,0.9342063291122845,FRR(t) = 3.21263011765 * exp(-0.553909498218 * t) - 2.01551346391
xception/threshold_sweep_xception_combined.csv,FAR,0.595982686430803,1.0455886782157418,-0.6871029263292187,0.03359682607292811,0.03682503811153451,0.036760118019585813,0.04605726904443585,0.0413229097226814,0.09049676125476735,0.9790390114852909,FAR(t) = 0.595982686431 * exp(1.04558867822 * t) - 0.687102926329
xception/threshold_sweep_xception_combined.csv,FRR,1.8303275312317302,-1.134825553868029,-0.6935237870538383,0.03506562340956475,0.04058632577290473,0.03875338174154718,0.05692339479054556,0.05094395506173825,0.13472781985227433,0.9748719511596244,FRR(t) = 1.83032753123 * exp(-1.13482555387 * t) - 0.693523787054
xception/threshold_sweep_xception_dfdc.csv,FAR,1.4007787816103743,0.6280818378641051,-1.5200960144243167,0.12728055462195045,0.042496902247743204,0.13151623018168787,0.060476793724774144,0.05430964355269035,0.11843715275012734,0.9713883418315673,FAR(t) = 1.40077878161 * exp(0.628081837864 * t) - 1.52009601442
xception/threshold_sweep_xception_dfdc.csv,FRR,1.8169390686044262,-1.140863788442241,-0.6832767167822656,0.03361012196656563,0.03953477708474651,0.037180037905522705,0.05517640539696703,0.04948565432668109,0.13159065382030422,0.9761411091879262,FRR(t) = 1.8169390686 * exp(-1.14086378844 * t) - 0.683276716782
xception/threshold_sweep_xception_faceforensics.csv,FAR,1.2995584705901675e-05,10.982857556824282,0.011970131334183471,1.4692489163689574e-06,0.11702168834814203,0.0009666287238588298,0.02433971949330819,0.015439574689601457,0.2231552374705832,0.9738057629046366,FAR(t) = 1.29955847059e-05 * exp(10.9828575568 * t) + 0.0119701313342
xception/threshold_sweep_xception_faceforensics.csv,FRR,1.38200863921574,-2.062772032708169,-0.24094720522300167,0.007490885859835259,0.03301172945188073,0.009145779424726186,0.04118453020352283,0.034039291950110594,0.1425146412682462,0.9852409133925487,FRR(t) = 1.38200863922 * exp(-2.06277203271 * t) - 0.240947205223
